32	documented	link: documented linear recurrence signature (1,1)
45	documented	link: documented linear recurrence signature (1,1)
85	documented	mathematica: CoefficientList[Series[
108	documented	mathematica: CoefficientList[Series[
124	documented	link: documented linear recurrence signature (3,-3,1)
125	documented	link: documented linear recurrence signature (4,-6,4,-1)
127	documented	link: documented linear recurrence signature (5,-10,10,-5,1)
204	documented	link: documented linear recurrence signature (1,1)
295	documented	link: documented linear recurrence signature (4,-5,2)
321	documented	formula field
332	documented	link: documented linear recurrence signature (5,-10,10,-5,1)
389	documented	link: documented linear recurrence signature (6,-15,20,-15,6,-1)
439	documented	link: documented linear recurrence signature (5,-10,10,-5,1)
529	bfile-synthesized	50 terms vs 50 in data | Powers of rooted tree enumerator.
531	documented	formula field
537	documented	link: documented linear recurrence signature (5,-10,10,-5,1)
538	documented	link: documented linear recurrence signature (6,-15,20,-15,6,-1)
539	documented	link: documented linear recurrence signature (7,-21,35,-35,21,-7,1)
561	documented	link: documented linear recurrence signature (4,-6,4,-1)
563	documented	link: documented linear recurrence signature (6,-15, 20,-15,6,-1)
566	documented	link: documented linear recurrence signature (3,-3,1)
